date, pm25, pm10, o3
2021/2/18, 52, , 
2021/2/19, 51, , 
2021/2/20, 19, , 
2021/2/21, 14, , 
2021/2/22, 10, , 
2021/2/23, 11, , 
2021/2/24, 12, , 
2021/2/25, 14, , 
2021/2/26, 10, , 
2021/2/27, 16, , 
2021/2/28, 19, , 
2021/3/1, 26, , 
2021/3/2, 27, , 
2021/3/3, 28, , 
2021/3/4, 28, , 
2021/3/5, 24, , 
2021/3/6, 14, , 
2021/3/7, 19, , 
2021/3/8, 20, , 
2021/3/9, 22, , 
2021/3/10, 18, , 
2021/3/11, 17, , 
2021/3/12, 23, , 
2021/3/13, 30, , 
2021/3/14, 29, , 
2021/3/15, 12, , 
2021/3/16, 16, , 
2021/3/17, 20, , 
2021/3/18, 20, , 
2021/3/19, 12, , 
2021/3/20, 11, , 
2021/3/21, 16, , 
2021/3/22, 14, , 
2021/3/23, 13, , 
2021/3/24, 14, , 
2021/3/25, 10, , 
2021/3/26, 15, , 
2021/3/27, 18, , 
2021/3/28, 15, , 
2021/3/29, 12, , 
2021/3/30, 16, , 
2021/3/31, 20, , 
2020/10/1, 22, , 
2020/10/2, 31, , 
2020/10/3, 33, , 
2020/10/4, 38, , 
2020/10/5, 40, , 
2020/10/6, 33, , 
2020/10/7, 48, , 
2020/10/8, 62, , 
2020/10/9, 31, , 
2020/10/10, 17, , 
2020/10/11, 14, , 
2020/10/12, 14, , 
2020/10/13, 18, , 
2020/10/14, 16, , 
2020/10/15, 14, , 
2020/10/21, 11, , 
2020/10/22, 17, , 
2020/10/23, 27, , 
2020/10/24, 24, , 
2020/10/25, 25, , 
2020/10/26, 29, , 
2020/10/27, 38, , 
2020/10/28, 32, , 
2020/10/29, 17, , 
2020/10/30, 15, , 
2020/10/31, 18, , 
2020/11/1, 23, , 
2020/11/2, 25, , 
2020/11/3, 48, , 
2020/11/4, 39, , 
2020/11/5, 15, , 
2020/11/6, 22, , 
2020/11/7, 16, , 
2020/11/8, 27, , 
2020/11/9, 41, , 
2020/11/10, 25, , 
2020/11/11, 23, , 
2020/11/12, 65, , 
2020/11/13, 46, , 
2020/11/14, 14, , 
2020/11/15, 15, , 
2020/11/16, 24, , 
2020/11/17, 22, , 
2020/11/18, 15, , 
2020/11/19, 17, , 
2020/11/20, 33, , 
2020/11/21, 50, , 
2020/11/22, 57, , 
2020/11/23, 42, , 
2020/11/24, 23, , 
2020/11/25, 24, , 
2020/11/26, 21, , 
2020/11/27, 33, , 
